Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.18     0.00   490356     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<int const, std::vector<int, std::allocator<int> > > >::_M_addr() const
  0.00      0.18     0.00   490356     0.00     0.00  decltype ((get<0>)((forward<std::pair<int const, std::vector<int, std::allocator<int> > > const&>)({parm#1}))) std::__detail::_Select1st::operator()<std::pair<int const, std::vector<int, std::allocator<int> > > const&>(std::pair<int const, std::vector<int, std::allocator<int> > > const&) const
  0.00      0.18     0.00   490356     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<int const, std::vector<int, std::allocator<int> > > >::_M_v() const
  0.00      0.18     0.00   490356     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<int const, std::vector<int, std::allocator<int> > > >::_M_valptr() const
  0.00      0.18     0.00   490356     0.00     0.00  std::pair<int const, std::vector<int, std::allocator<int> > > const& std::forward<std::pair<int const, std::vector<int, std::allocator<int> > > const&>(std::remove_reference<std::pair<int const, std::vector<int, std::allocator<int> > > const&>::type&)
  0.00      0.18     0.00   429402     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, std::vector<int, std::allocator<int> > >, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(int const&) const
  0.00      0.18     0.00   429402     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, std::vector<int, std::allocator<int> > >, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash() const
  0.00      0.18     0.00   418452     0.00     0.00  std::__detail::_Hashtable_base<int, std::pair<int const, std::vector<int, std::allocator<int> > >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_eq() const
  0.00      0.18     0.00   418452     0.00     0.00  std::__detail::_Hashtable_base<int, std::pair<int const, std::vector<int, std::allocator<int> > >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_equals(int const&, unsigned long, std::__detail::_Hash_node_value<std::pair<int const, std::vector<int, std::allocator<int> > >, false> const&) const
  0.00      0.18     0.00   418452     0.00     0.00  std::__detail::_Hashtable_base<int, std::pair<int const, std::vector<int, std::allocator<int> > >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_S_equals(unsigned long, std::__detail::_Hash_node_code_cache<false> const&)
  0.00      0.18     0.00   405025     0.00     0.00  std::__detail::_Hash_node_base::_Hash_node_base()
  0.00      0.18     0.00   390868     0.00     0.00  std::_Head_base<0ul, int const&, false>::_Head_base(int const&)
  0.00      0.18     0.00   390868     0.00     0.00  std::_Tuple_impl<0ul, int const&>::_Tuple_impl(int const&)
  0.00      0.18     0.00   390868     0.00     0.00  std::tuple<int const&>::tuple<true, true>(int const&)
  0.00      0.18     0.00   390868     0.00     0.00  std::tuple<int const&>::tuple(std::tuple<int const&>&&)
